#property,line_cd,station_cd1,station_cd2
730,11205,1120507,1120508
731,11205,1120508,1120509
732,11205,1120509,1120510
733,11205,1120510,1120511
734,11205,1120511,1120512
735,11205,1120512,1120513
736,11205,1120513,1120514
737,11205,1120514,1120515
738,11205,1120515,1120516
739,11205,1120516,1120517
740,11205,1120517,1120518
741,11206,1120601,1120602
742,11206,1120602,1120603
743,11206,1120603,1120604
744,11206,1120604,1120605
745,11206,1120605,1120606
746,11206,1120606,1120607
747,11206,1120607,1120609
748,11206,1120609,1120610
749,11206,1120610,1120611
750,11206,1120611,1120612
751,11206,1120612,1120613
752,11206,1120613,1120614
753,11206,1120614,1120615
754,11206,1120615,1120616
755,11206,1120616,1120617
756,11206,1120617,1120618
757,11206,1120618,1120619
758,11206,1120619,1120620
759,11206,1120620,1120621
760,11206,1120621,1120622
761,11206,1120622,1120623
762,11206,1120623,1120624
763,11206,1120624,1120625
764,11207,1120701,1120702
765,11207,1120702,1120703
766,11207,1120703,1120704
767,11207,1120704,1120705
768,11207,1120705,1120706
769,11207,1120706,1120707
770,11207,1120707,1120708
771,11207,1120708,1120709
772,11208,1120801,1120802
773,11208,1120802,1120803
774,11208,1120803,1120804
775,11208,1120804,1120805
776,11208,1120805,1120806
777,11208,1120806,1120807
778,11208,1120807,1120808
779,11208,1120808,1120809
780,11208,1120809,1120810
781,11208,1120810,1120811
782,11208,1120811,1120812
783,11208,1120812,1120813
784,11208,1120813,1120814
785,11208,1120814,1120815
786,11208,1120815,1120816
787,11208,1120816,1120817
788,11208,1120817,1120818
789,11208,1120818,1120819
790,11208,1120819,1120820
791,11208,1120820,1120821
792,11208,1120821,1120822
793,11208,1120822,1120823
794,11208,1120823,1120824
795,11208,1120824,1120825
796,11209,1120901,1120902
797,11209,1120902,1120903
798,11209,1120903,1120904
799,11209,1120904,1120905
800,11209,1120905,1120906
801,11209,1120906,1120907
802,11209,1120907,1120908
803,11209,1120908,1120909
804,11209,1120909,1120910
805,11209,1120910,1120911
806,11209,1120911,1120912
807,11209,1120912,1120913
808,11209,1120913,1120914
809,11209,1120914,1120915
810,11209,1120915,1120916
811,11209,1120916,1120917
812,11209,1120917,1120918
813,11209,1120918,1120919
814,11209,1120919,1120920
815,11209,1120920,1120921
816,11209,1120921,1120922
817,11209,1120922,1120923
818,11209,1120923,1120924
819,11210,1121001,1121002
820,11210,1121002,1121003
821,11210,1121003,1121004
822,11210,1121004,1121005
823,11210,1121005,1121006
824,11210,1121006,1121007
825,11210,1121007,1121008
826,11210,1121008,1121009
827,11210,1121009,1121010
828,11210,1121010,1121011
829,11210,1121011,1121012
830,11210,1121012,1121013
831,11210,1121013,1121014
832,11210,1121014,1121015
833,11210,1121015,1121016
834,11210,1121016,1121017
835,11211,1121101,1121102
836,11211,1121102,1121103
837,11211,1121103,1121104
838,11211,1121104,1121105
839,11211,1121105,1121106
840,11211,1121106,1121107
841,11211,1121107,1121108
842,11211,1121108,1121109
843,11211,1121109,1121110
844,11211,1121110,1121111
845,11211,1121111,1121112
846,11211,1121112,1121113
847,11211,1121113,1121114
848,11211,1121114,1121115
849,11211,1121115,1121116
850,11211,1121116,1121117
851,11212,1121201,1121202
852,11212,1121202,1121203
853,11212,1121203,1121204
854,11212,1121204,1121205
855,11212,1121205,1121206
856,11212,1121206,1121207
857,11212,1121207,1121208
858,11212,1121208,1121209
859,11212,1121209,1121210
860,11212,1121210,1121211
861,11212,1121211,1121212
862,11212,1121212,1121213
863,11212,1121213,1121214
864,11212,1121214,1121215
865,11212,1121215,1121216
866,11212,1121216,1121217
867,11212,1121217,1121218
868,11212,1121218,1121219
869,11212,1121219,1121220
870,11212,1121220,1121221
871,11212,1121221,1121222
872,11212,1121222,1121223
873,11212,1121223,1121224
874,11212,1121224,1121225
875,11212,1121225,1121226
876,11212,1121226,1121227
877,11213,1121301,1121302
878,11213,1121302,1121303
879,11213,1121303,1121304
880,11213,1121304,1121305
881,11213,1121305,1121306
882,11213,1121306,1121307
883,11213,1121307,1121308
884,11213,1121308,1121309
885,11213,1121309,1121310
886,11213,1121310,1121311
887,11213,1121311,1121312
888,11213,1121312,1121313
889,11213,1121313,1121314
890,11213,1121314,1121315
891,11213,1121315,1121316
892,11213,1121316,1121317
893,11213,1121317,1121318
894,11213,1121318,1121319
895,11213,1121319,1121320
896,11213,1121320,1121321
897,11213,1121321,1121322
898,11213,1121322,1121323
899,11213,1121323,1121324
900,11213,1121324,1121325
901,11213,1121325,1121326
902,11213,1121326,1121327
903,11213,1121327,1121328
904,11213,1121328,1121329
905,11213,1121329,1121330
906,11214,1121401,1121402
907,11214,1121402,1121403
908,11214,1121403,1121404
909,11214,1121404,1121405
910,11214,1121405,1121406
911,11214,1121406,1121407
912,11214,1121407,1121408
913,11214,1121408,1121409
914,11214,1121409,1121410
915,11214,1121410,1121411
916,11214,1121411,1121412
917,11214,1121412,1121413
918,11214,1121413,1121414
919,11214,1121414,1121415
920,11214,1121415,1121416
921,11214,1121416,1121417
922,11214,1121417,1121418
923,11214,1121418,1121419
924,11214,1121419,1121420
925,11214,1121420,1121421
926,11214,1121421,1121422
927,11214,1121422,1121423
928,11214,1121423,1121424
929,11214,1121424,1121425
930,11214,1121425,1121426
931,11214,1121426,1121427
932,11214,1121427,1121428
933,11214,1121428,1121429
934,11214,1121429,1121430
935,11214,1121430,1121431
936,11214,1121431,1121432
937,11214,1121432,1121433
938,11214,1121433,1121434
939,11214,1121434,1121435
940,11214,1121435,1121436
941,11214,1121436,1121437
942,11214,1121437,1121438
943,11214,1121438,1121439
944,11214,1121439,1121440
945,11214,1121440,1121441
946,11214,1121441,1121442
947,11214,1121442,1121443
948,11214,1121443,1121444
949,11214,1121444,1121445
950,11214,1121445,1121446
951,11214,1121446,1121447
952,11214,1121447,1121448
953,11214,1121448,1121449
954,11214,1121449,1121450
955,11214,1121450,1121451
956,11214,1121451,1121452
957,11214,1121452,1121453
958,11214,1121453,1121454
959,11214,1121454,1121455
